4,1812,3
22,3453,4
54,3811,5
18,4978,0
52,7859,3
33,9886,4
35,7979,4
99,4104,6
47,4278,1
99,2934,4
74,7869,4
69,1372,7
34,4002,4
65,7238,2
29,5603,0
5,5728,0
100,8882,7
95,6242,1
57,3815,2
47,1259,0
3,292,2
30,8168,4
84,1768,2
49,1961,2
69,7137,0
47,2112,5
86,6875,1
34,5336,7
95,6224,1
7,1043,2
36,5944,0
98,8036,5
28,4497,0
90,9756,4
16,2841,6
80,2183,2
23,9469,4
51,647,3
78,6287,5
69,3573,6
49,3581,3
52,3983,0
38,4946,3
83,7583,1
16,1048,3
66,375,7
87,3138,5
15,9930,2
60,6618,6
44,6953,7
62,1015,2
62,6911,1
73,4948,6
46,2784,5
11,8873,0
41,1911,3
93,4896,3
97,5574,6
75,7247,0
87,947,3
3,6618,3
11,3018,0
85,8983,5
31,941,4
100,2601,4
1,1651,5
11,3125,0
22,1896,0
52,2298,1
89,9413,0
90,5470,5
100,5880,1
40,3222,0
27,243,7
83,3290,2
56,4270,7
93,619,4
69,6428,1
70,4026,5
52,7237,7
12,3207,5
32,5042,0
14,3975,1
85,8155,0
77,7826,1
25,2674,7
26,10066,4
69,2549,2
21,8249,2
100,7140,5
56,3496,5
24,4693,6
10,10159,4
40,2306,5
55,5635,6
9,2586,6
41,3958,2
65,8761,0
31,4483,6
92,6257,5
54,8000,6
20,9953,3
92,1963,5
93,1048,3
47,22,1
74,5254,4
48,5319,7
39,642,2
43,1508,2
18,9346,6
91,7880,6
54,4716,1
49,4215,7
5,1681,4
39,2697,1
25,1868,5
29,4356,7
64,2590,0
94,4418,6
49,2432,6
64,9731,0
49,7915,6
72,7125,3
73,9716,3
89,48,0
26,2587,3
82,2129,2
29,4006,6
91,1174,3
12,6612,5
21,89,4
44,9175,7
32,6391,0
13,2053,3
37,50,3
78,6414,4
87,7307,5
85,5369,1
17,7056,3
29,8816,6
3,4542,5
8,4763,7
83,3358,7
51,8757,3
12,6444,6
22,6056,6
76,451,0
40,627,0
85,8647,2
70,4869,7
89,3059,0
48,8205,0
18,2610,6
60,10,5
21,7748,6
6,2658,4
86,2598,2
2,9877,4
35,6665,6
77,3773,1
14,6315,0
56,6754,4
21,2774,0
45,2533,3
68,8808,5
57,2824,2
23,8948,1
55,5941,0
42,8194,6
40,5831,7
83,4584,2
44,2562,1
47,420,7
66,7942,5
95,1145,2
58,6864,1
87,3825,6
71,1597,2
98,7491,2
71,2298,0
40,6467,1
86,377,4
19,329,7
58,9077,4
46,387,2
39,8077,4
63,1562,4
32,2986,4
41,7781,5
97,8227,3
8,6759,6
54,3923,7
53,4808,5
29,9534,0
99,6456,4
20,3443,3
86,2184,2
21,5231,3
74,9384,3
27,205,6
61,888,3
57,3795,1
71,2767,4
7,1308,2
23,1563,7
65,3913,3
65,8173,7
9,5388,4
36,5511,6
62,5491,0
80,7687,4
75,1804,5
48,5868,3
99,8017,7
32,708,2
93,6256,6
38,5920,5
95,2271,6
24,9243,0
78,3528,7
92,325,0
32,5829,5
32,7451,1
44,5133,1
60,5189,4
30,3733,2
64,8576,3
45,7374,3
51,8965,6
38,7787,5
72,7579,6
11,9853,7
94,1408,3
42,173,0
17,988,3
17,2972,1
7,4087,0
82,9162,3
26,8361,4
42,9599,3
43,4480,4
6,5874,3
17,1229,4
90,175,1
4,3717,3
49,1938,4
83,6432,4
41,9638,0
43,4209,3
6,5501,6
