20,1821,7
36,997,0
24,1462,7
100,2156,4
45,2168,7
80,955,7
93,2004,6
2,1789,1
62,1554,3
55,1725,6
23,933,3
83,1181,3
46,2114,2
60,1119,6
23,2242,5
78,1740,0
46,1033,1
1,1770,6
4,841,0
7,1385,2
68,1614,4
36,2023,0
83,1902,7
10,964,0
68,1315,6
40,841,3
53,1401,1
23,1467,7
32,1150,7
49,1893,1
66,2002,1
51,2220,7
84,2139,1
89,1209,0
51,2121,5
29,2051,0
69,1413,6
44,1870,2
30,1584,2
30,2216,7
98,1339,4
52,1767,5
12,1141,4
44,1198,0
12,2135,0
35,1128,2
21,2187,3
57,913,2
35,2148,4
24,773,5
64,1547,7
3,1507,0
59,2045,6
47,1193,0
12,1720,2
27,1105,0
86,1284,5
64,866,4
49,1821,0
18,1683,4
13,2008,1
15,1568,1
69,1647,3
96,1892,5
3,2026,3
19,1512,6
24,1688,2
72,1183,4
62,1127,7
53,1017,0
1,1144,4
60,1715,1
5,2033,6
13,1534,4
3,2162,7
17,1913,4
48,1912,6
23,2094,3
74,2075,7
82,1804,4
47,2116,6
37,1367,3
85,1056,7
6,1905,1
83,1809,4
96,2025,3
32,755,3
69,837,4
60,2141,4
81,1825,2
87,1770,0
72,1894,6
95,1137,7
55,1161,5
68,1530,3
98,908,5
74,1923,6
92,962,0
69,1341,6
36,794,5
45,1228,5
70,1734,1
96,1759,0
50,1006,3
82,1013,4
99,1666,4
66,2168,4
30,2174,2
22,1504,5
39,1987,1
11,1723,2
68,1364,7
75,1099,0
96,2028,2
73,1014,2
58,2158,7
91,1798,7
4,1018,6
26,2245,1
51,1684,6
84,2093,3
12,1759,1
23,1322,5
78,974,3
67,2169,2
90,2101,7
75,1132,4
40,1837,1
82,808,3
44,1722,4
76,1880,5
26,1286,4
13,1200,1
71,1384,3
76,1541,4
95,1463,7
69,794,0
41,1453,0
24,1381,5
90,1547,0
79,1185,5
35,849,1
57,2161,6
54,1533,1
30,2127,7
30,919,7
11,1435,3
21,1669,0
33,1187,6
36,1424,3
