2,5673,6
6,5883,6
4,1957,3
4,2975,4
4,5270,6
7,5779,2
11,5048,6
9,5754,1
9,3490,1
15,1540,6
14,4870,7
10,3482,1
22,4184,2
24,5012,4
12,6148,3
20,4579,6
13,4980,1
38,2607,1
27,1574,2
38,3772,2
35,3625,0
40,4142,2
46,4446,7
46,4354,0
47,2840,0
47,6101,3
33,6571,5
45,2493,2
34,5974,2
24,4456,3
12,2163,7
61,2704,2
55,2919,5
57,5426,0
38,4131,6
26,6497,6
13,2333,4
46,3679,7
53,5611,4
68,6529,5
63,2954,1
49,5559,2
56,6467,3
71,4246,5
64,6151,2
22,5191,0
32,4265,2
33,4067,7
58,6127,6
67,4048,2
42,3607,0
85,5385,2
43,1874,6
63,6395,0
73,6350,2
74,3205,0
28,4446,5
95,5679,1
76,2921,1
70,1807,2
70,5422,7
95,2714,6
86,2198,0
99,5275,1
56,4019,1
94,5949,5
36,1553,4
97,5668,6
74,2090,4
25,5952,5
14,4695,0
71,1721,7
100,4582,7
29,5614,4
44,6470,1
74,5819,3
63,4909,2
95,3266,5
81,3405,1
91,5015,2
79,5481,2
68,3359,2
25,2298,4
76,5886,1
26,5686,7
95,4012,6
97,6333,7
65,4866,2
100,1884,7
67,2723,7
69,2553,4
75,2297,1
38,4260,0
89,4063,3
89,2149,4
46,3445,6
68,5398,4
69,2145,4
82,2328,5
83,4986,6
